Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Saga of Empires,PSP,2010.0,Action,Activision,24.64,20.16,3.68,11.04,59.52
2,Battle for Racing Stars: Remastered,X360,2010.0,Action,Bethesda Softworks,8.75,5.98,1.61,1.29,17.63
3,Age of Fairways,DS,2007.0,Platform,2K Games,4.35,2.4,2.45,1.43,10.63
4,Empire of Duty III,X360,2014.0,Platform,Nintendo,4.34,1.47,1.56,3.03,10.4
5,Heroes Nations: Remastered,GBA,2004.0,Shooter,Epic Games,5.14,1.83,0.27,1.65,8.89
6,Valor Rebellion: Next Gen,GBA,2006.0,Sports,Epic Games,2.56,3.51,0.28,0.27,6.62
7,Kingdom of Frontier III,GBA,2008.0,Fighting,,2.42,2.29,0.94,0.85,6.5
8,Saga of Heroes Gold Edition,N64,2004.0,Strategy,CD Projekt,2.47,2.52,0.58,0.64,6.21
9,Saga of Titans II,PS,1997.0,Shooter,Activision,3.58,1.17,0.4,0.94,6.09
10,Empire of Duty: Origins,N64,2002.0,Role-Playing,Epic Games,1.21,0.93,2.0,1.58,5.72
11,Fury Gridiron III,PSV,2014.0,Shooter,Atari,3.26,1.86,0.01,0.46,5.59
12,Heroes Odyssey: Reborn,Wii,2015.0,Shooter,Sega,2.67,2.04,0.6,0.18,5.49
13,Shadow of Storm 3,SNES,1998.0,Role-Playing,CD Projekt,1.89,2.06,1.48,0.03,5.46
14,Nations Gridiron,GBA,2004.0,Racing,Sega,1.64,1.79,0.4,1.59,5.42
15,Chronicles of Warriors Gold Edition,PS3,2010.0,Strategy,Microsoft Game Studios,1.65,1.98,0.53,1.19,5.35
16,Kingdom of Legends Gold Edition,PS4,2015.0,Shooter,Activision,1.65,1.48,0.67,1.52,5.32
17,Nations Titans: Origins,PS4,2015.0,Fighting,Microsoft Game Studios,3.72,1.26,0.18,0.07,5.23
18,Fury Odyssey: Origins,N64,1999.0,Adventure,Ubisoft,2.74,1.14,0.82,0.24,4.94
19,Quest for Storm: Next Gen,XOne,2018.0,Sports,Konami Digital Entertainment,1.86,1.15,0.72,0.86,4.59
20,Age of Depths,Wii,2010.0,Action,Take-Two Interactive,2.28,1.3,0.42,0.47,4.47
21,Titans Shadows: Remastered,PC,2000.0,Adventure,Bethesda Softworks,2.65,0.9,0.34,0.41,4.3
22,Fairways Warriors: Next Gen,3DS,2011.0,Simulation,Take-Two Interactive,1.24,1.13,0.58,1.24,4.19
23,Age of Conquest: Origins,PC,1999.0,Simulation,Namco Bandai Games,1.6,0.86,0.93,0.72,4.11
24,Tales of Empires: Remastered,PS2,2001.0,Fighting,Take-Two Interactive,1.33,1.63,0.72,0.33,4.01
25,Chronicles of Storm,Wii,2011.0,Fighting,Konami Digital Entertainment,1.0,1.9,0.14,0.74,3.78
26,Shadow of Rebellion: Next Gen,Switch,2020.0,Sports,Nintendo,1.43,1.4,0.6,0.1,3.53
27,Fall of Shadows: Revolution,PS3,2010.0,Sports,Epic Games,1.51,0.9,0.47,0.59,3.47
28,Legend of Fury,GBA,2005.0,Racing,Electronic Arts,1.11,1.28,0.38,0.6,3.37
29,Battle for Frontier,PC,2002.0,Platform,2K Games,1.21,1.24,0.72,0.18,3.35
30,Age of Valor,PS3,2010.0,Role-Playing,Square Enix,1.85,0.58,0.6,0.31,3.34
31,Frontier Shadows: Origins,N64,2000.0,Sports,Sega,1.63,1.46,0.06,0.19,3.34
32,Battle for Frontier Gold Edition,PC,2003.0,Action,Activision,1.12,1.1,0.66,0.46,3.34
33,Realm of Glory 2,PS4,2017.0,Racing,Square Enix,1.49,1.3,0.03,0.48,3.3
34,Tales of Duty III,X360,2015.0,Action,Activision,1.37,0.65,0.85,0.33,3.2
35,Saga of Heroes 2,PS,1996.0,Role-Playing,Sony Computer Entertainment,1.13,0.32,1.05,0.7,3.2
36,Champions Fairways: Remastered,PC,2000.0,Sports,Epic Games,1.38,0.79,0.08,0.86,3.11
37,Legend of Titans: Remastered,Wii,2014.0,Platform,Sega,0.76,1.55,0.27,0.52,3.1
38,World of Glory: Next Gen,PS3,2015.0,Adventure,Square Enix,1.17,1.36,0.34,0.05,2.92
39,Duty Fairways 3,X360,2005.0,Fighting,Bethesda Softworks,1.12,0.97,0.05,0.59,2.73
40,Call of Titans,SNES,1997.0,Fighting,Bethesda Softworks,1.25,1.01,0.42,0.04,2.72
41,Call of Conquest,PS3,2017.0,Role-Playing,Microsoft Game Studios,0.81,0.21,1.62,0.06,2.7
42,Champions Rebellion: Next Gen,X360,2012.0,Fighting,Activision,1.0,0.73,0.63,0.3,2.66
43,Fury Gridiron: Reborn,PS2,2004.0,Adventure,Capcom,1.43,0.52,0.4,0.31,2.66
44,Fall of Conquest: Origins,GBA,2008.0,Shooter,Ubisoft,1.2,0.92,0.24,0.28,2.64
45,Arena Gridiron II,PS3,2013.0,Role-Playing,Atari,0.82,0.35,1.32,0.1,2.59
46,Titans Odyssey 3,PS2,2002.0,Action,Atari,1.14,0.7,0.46,0.26,2.56
47,Legends Valor: Reborn,XOne,2015.0,Simulation,Take-Two Interactive,1.12,0.82,0.42,0.16,2.52
48,Saga of Odyssey: Next Gen,PSP,2005.0,Action,Bethesda Softworks,0.98,0.99,0.26,0.2,2.43
49,Legends Skies III,WiiU,2014.0,Adventure,Sega,1.3,0.43,0.45,0.2,2.38
50,Rise of Glory: Next Gen,PS3,2006.0,Strategy,2K Games,1.02,0.49,0.35,0.5,2.36
51,Nations Glory,PS,2005.0,Platform,2K Games,1.1,0.74,0.25,0.26,2.35
52,World of Dragons,N64,2002.0,Sports,Nintendo,1.28,0.69,0.09,0.27,2.33
53,Depths Depths,Wii,2012.0,Misc,THQ,0.72,0.61,0.5,0.42,2.25
54,Realm of Fury: Origins,PSP,2006.0,Racing,Atari,0.83,0.89,0.03,0.47,2.22
55,Fall of Frontier: Revolution,PS4,2017.0,Racing,Electronic Arts,1.0,0.82,0.09,0.31,2.22
56,Battle for Nations: Revolution,PSP,2007.0,Fighting,Activision,0.7,0.85,0.27,0.4,2.22
57,Rebellion Glory,PS,1996.0,Racing,Bethesda Softworks,1.07,0.52,0.07,0.47,2.13
58,Racing Stars Depths 2,XB,2001.0,Role-Playing,CD Projekt,0.34,0.6,1.01,0.13,2.08
59,Titans Odyssey III,PS2,2000.0,Misc,Disney Interactive Studios,0.93,0.5,0.2,0.44,2.07
60,Nations Racing Stars 2,PS2,2008.0,Fighting,Sony Computer Entertainment,1.26,0.57,0.07,0.14,2.04
61,Empires Storm: Reborn,XB,2004.0,Action,Microsoft Game Studios,0.83,0.84,0.29,0.06,2.02
62,Tales of Racing Stars: Remastered,PC,1995.0,Strategy,Sony Computer Entertainment,0.98,0.52,0.35,0.17,2.02
63,Conquest Heroes III,PSP,2008.0,Puzzle,Epic Games,0.89,0.61,0.35,0.16,2.01
64,Champions Nations,GB,2000.0,Action,Nintendo,0.75,0.61,0.28,0.36,2.0
65,Fairways Legends: Reborn,GBA,2005.0,Sports,Microsoft Game Studios,0.79,0.74,0.12,0.34,1.99
66,Frontier Arena,XB,2003.0,Shooter,Sega,1.07,0.42,0.12,0.38,1.99
67,Racing Stars Valor: Remastered,PS2,2006.0,Fighting,Disney Interactive Studios,1.07,0.21,0.2,0.48,1.96
68,Fairways Arena,PS2,2002.0,Platform,Epic Games,0.57,0.78,0.24,0.34,1.93
69,Empires Conquest,Switch,2017.0,Role-Playing,CD Projekt,0.41,0.46,0.91,0.07,1.85
70,Racing Stars Warriors: Origins,PS,2007.0,Misc,Disney Interactive Studios,0.64,0.6,0.5,0.11,1.85
71,Saga of Fury 3,DS,2005.0,Fighting,Konami Digital Entertainment,1.01,0.46,0.26,0.06,1.79
72,Frontier Duty: Next Gen,PS2,2006.0,Adventure,Disney Interactive Studios,0.65,0.27,0.27,0.6,1.79
73,Frontier Rebellion II,PSV,2015.0,Misc,Disney Interactive Studios,0.62,0.7,0.18,0.25,1.75
74,Saga of Fairways: Reborn,XOne,2019.0,Adventure,Namco Bandai Games,0.51,0.79,0.23,0.22,1.75
75,Rise of Rebellion,PS3,2015.0,Racing,Microsoft Game Studios,0.46,1.09,0.0,0.18,1.73
76,Realm of Dragons 3,DS,2009.0,Adventure,Square Enix,0.7,0.72,0.24,0.07,1.73
77,Age of Storm III,X360,2007.0,Misc,,0.57,0.45,0.34,0.35,1.71
78,Battle for Shadows,PS,2008.0,Racing,Warner Bros. Interactive,0.74,0.9,0.0,0.06,1.7
79,Dragons Heroes,PC,2001.0,Action,Bethesda Softworks,0.77,0.75,0.09,0.07,1.68
80,Quest for Fury III,Wii,2011.0,Adventure,Disney Interactive Studios,1.1,0.22,0.24,0.1,1.66
81,Quest for Empires III,N64,2005.0,Fighting,Take-Two Interactive,0.4,0.7,0.31,0.21,1.62
82,Conquest Shadows: Origins,PS3,2017.0,Platform,Take-Two Interactive,0.42,0.65,0.34,0.21,1.62
83,Glory Shadows II,PS,1997.0,Role-Playing,Atari,0.43,0.6,0.32,0.27,1.62
84,Tales of Shadows II,XB,2006.0,Sports,Activision,0.95,0.29,0.03,0.33,1.6
85,Call of Storm 2,Wii,2015.0,Action,Capcom,0.77,0.48,0.3,0.04,1.59
86,Legend of Shadows,GBA,2001.0,Role-Playing,Bethesda Softworks,0.32,0.41,0.7,0.14,1.57
87,Battle for Racing Stars: Revolution,PS2,2008.0,Role-Playing,Nintendo,0.54,0.18,0.66,0.17,1.55
88,Shadows Honor II,3DS,2011.0,Adventure,CD Projekt,0.6,0.46,0.18,0.31,1.55
89,Call of Rebellion: Revolution,PS2,2005.0,Adventure,Warner Bros. Interactive,0.84,0.24,0.24,0.22,1.54
90,Racing Stars Shadows,DS,2014.0,Puzzle,Nintendo,0.44,0.54,0.17,0.36,1.51
91,Chronicles of Valor: Origins,DS,2014.0,Platform,Atari,0.51,0.5,0.2,0.3,1.51
92,Call of Dragons: Revolution,3DS,2018.0,Misc,THQ,0.71,0.43,0.17,0.19,1.5
93,Titans Duty Gold Edition,WiiU,2016.0,Fighting,Nintendo,0.88,0.42,0.1,0.1,1.5
94,Tales of Depths: Reborn,N64,2002.0,Shooter,Konami Digital Entertainment,0.78,0.52,0.03,0.16,1.49
95,Tales of Gridiron: Next Gen,PS3,2014.0,Racing,Atari,0.81,0.57,0.03,0.08,1.49
96,Shadow of Dragons,PS,2003.0,Adventure,CD Projekt,0.67,0.38,0.32,0.11,1.48
97,Legend of Empires: Next Gen,GBA,2004.0,Fighting,Sega,0.82,0.16,0.31,0.19,1.48
98,Fall of Valor 2,DS,2007.0,Shooter,Sony Computer Entertainment,0.86,0.27,0.03,0.31,1.47
99,Age of Arena Gold Edition,3DS,2011.0,Role-Playing,CD Projekt,0.26,0.35,0.65,0.21,1.47
100,Nations Champions,PS3,2012.0,Platform,Disney Interactive Studios,0.5,0.71,0.13,0.11,1.45
101,Duty Honor Gold Edition,SNES,2005.0,Fighting,Sony Computer Entertainment,0.7,0.44,0.19,0.11,1.44
102,World of Rebellion III,GBA,2007.0,Role-Playing,Take-Two Interactive,0.29,0.47,0.63,0.04,1.43
103,Call of Fury: Remastered,PS3,,Sports,Warner Bros. Interactive,0.84,0.39,0.03,0.16,1.42
104,Age of Conquest 3,XB,2007.0,Misc,THQ,0.76,0.24,0.28,0.13,1.41
105,Rebellion Fairways: Revolution,PSP,2005.0,Racing,2K Games,0.54,0.52,0.08,0.25,1.39
106,Age of Gridiron,Switch,2020.0,Platform,Epic Games,0.6,0.41,0.21,0.17,1.39
107,Skies Frontier,DS,2008.0,Strategy,Konami Digital Entertainment,0.4,0.57,0.24,0.17,1.38
108,Kingdom of Dragons 2,X360,2017.0,Platform,Atari,0.56,0.29,0.27,0.25,1.37
109,Tales of Glory III,X360,2014.0,Misc,Sony Computer Entertainment,0.73,0.29,0.18,0.16,1.36
110,Empire of Fury Gold Edition,DS,2004.0,Simulation,CD Projekt,0.73,0.3,0.09,0.24,1.36
111,Realm of Empires,PS,2006.0,Adventure,Namco Bandai Games,0.53,0.43,0.22,0.17,1.35
